"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"455","Exame","Veja um passo a passo para desfrutar da aposentadoria até os 90 anos (sem aperto). ","http://exame.abril.com.br/seu-dinheiro/noticias/onde-investir-para-ter-renda-de-r-5-mil-na-aposentadoria","131180673952_10152697660603953",1951,235,875,2014-09-14,"Domingo",790.6,0.666666666666667,NA
"452","Exame","Computador com IP da Petrobras publicou na Wikipédia que o ex-dirigente da empresa é ""cria do governo tucano"" de FHC. ","http://exame.abril.com.br/brasil/noticias/perfil-de-ex-diretor-na-wikipedia-e-editado-da-petrobras","131180673952_10152697764988953",1500,254,773,2014-09-14,"Domingo",690,NA,NA
"448","Exame"," Um guia para fazer as melhores decisões financeiras até os 30 anos. ","http://exame.abril.com.br/seu-dinheiro/noticias/7-livros-sobre-financas-que-voce-deveria-ler-antes-dos-30","131180673952_10152697697073953",1785,158,753,2014-09-14,"Domingo",677.7,2,NA
"462","Exame","Mapa de Preços mostra o valor dos imóveis por região, bairro e até rua ","http://exame.abril.com.br/seu-dinheiro/noticias/ferramenta-mostra-quanto-vale-o-seu-imovel","131180673952_10152693298663953",1223,128,610,2014-09-14,"Sábado",526.7,1,NA
"451","Exame","Torre terá 330 metros de altura e abrigará o maior observatório de florestas do mundo. Veja mais detalhes: ","http://exame.abril.com.br/brasil/noticias/torre-gigante-vai-monitorar-amazonia","131180673952_10152697816863953",2285,60,458,2014-09-14,"Domingo",521.3,3,NA
"431","Exame","""Quem leva críticas para o lado pessoal não vai ser boa presidenta"", alfinetou.","http://exame.abril.com.br/brasil/noticias/dilma-quem-se-sente-coitadinho-nao-pode-ser-presidente","131180673952_10152698443128953",1545,804,184,2014-09-14,"Domingo",506.1,3,NA
"438","Exame","O mundo está cada vez mais ""carente"" de profissionais qualificados para algumas atividades. Veja quais estão mais em falta no Brasil. ","http://exame.abril.com.br/carreira/noticias/os-profissionais-mais-buscados-em-10-paises-das-americas","131180673952_10152698268223953",1187,82,595,2014-09-14,"Domingo",500.3,1,NA
"434","Exame","7 pecados que nenhum professor de inglês pode cometer","http://exame.abril.com.br/carreira/noticias/os-7-pecados-do-pessimo-professor-de-ingles","131180673952_10152698455133953",1005,292,508,2014-09-14,"Domingo",492.9,1,NA
"461","Exame","Mercado negro de Big Macs na Venezuela. Falta de ketchup na Argentina. O McDonalds está sofrendo um choque de América Latina","http://exame.abril.com.br/revista-exame/edicoes/1072/noticias/um-mac-problema","131180673952_10152693300983953",1093,106,311,2014-09-14,"Sábado",327.7,0.5,NA
"430","Exame","Em termos de reputação perante o mundo, Brasil ganha dos EUA. ","http://exame.abril.com.br/mundo/album-de-fotos/os-paises-com-a-melhor-reputacao-do-mundo-brasil-em-21o","131180673952_10152698635638953",713,96,232,2014-09-14,"Domingo",239.3,2,NA
"453","Exame","Um, dois ou três beijinhos? Veja qual a melhor forma de cumprimentar na América Latina. ","http://exame.abril.com.br/carreira/noticias/a-etiqueta-profissional-do-beijinho-nos-paises-latinos","131180673952_10152697810368953",633,44,263,2014-09-14,"Domingo",234.3,2,NA
