"",".id","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","created_date","weekday","month","score","msglen","polarity","nword","ncaplet","ratecap"
"59","SBTonline","132520803451684","SBT","Nasce o primeiro filho de Patricia Abravanel! Bem-vindo ao mundo, Pedro! <3 http://goo.gl/Ul55bx",2014-09-14 19:56:33,"photo","https://www.facebook.com/SBTonline/photos/a.136870546350043.11994.132520803451684/744857435551348/?type=1&relevant_count=1","132520803451684_744857548884670",57869,2845,1130,2014-09-14,"Domingo","Setembro",7318.4,96,2,17,6,0.0625
"167","estadao","115987058416365","Estadão","Papa Francisco realiza casamento de casais que já moram juntos e têm filhos. 'As pessoas que se casaram no domingo são casais como muitos outros', disse Francisco. Veja mais em: http://oesta.do/1wsTOlL via Internacional Estadão #Casamento",2014-09-14 11:14:34,"photo","https://www.facebook.com/estadao/photos/pcb.1004982212850174/1004981229516939/?type=1&relevant_count=4","115987058416365_1004982212850174",31356,820,4141,2014-09-14,"Domingo","Setembro",5866.2,238,2,38,11,0.046218487394958
"47","RedeGlobo","150312925065096","Rede Globo","Vai vir uma batalha dura pela frente! Força, Xana Summer! #Império http://glo.bo/1qT7h3t",2014-09-13 22:28:19,"photo","https://www.facebook.com/RedeGlobo/photos/a.190661634363558.41417.150312925065096/694642537298796/?type=1&relevant_count=1","150312925065096_694643087298741",40617,1017,433,2014-09-14,"Sábado","Setembro",4626.6,88,1,15,6,0.0681818181818182
"349","CartaCapital","229151370439618","CartaCapital","Material distribuído por apoiadores de Marina Silva na periferia do Rio de Janeiro faz repetidas alusões ao ""anticristo"" e aponta como inimigos homossexuais, prostitutas, ateus, comunistas, ""abortistas"", usuários de drogas e o governo Dilma. A partir dessa premissa, a publicação descreve uma conspiração satânica internacional para a criação de uma ""nova ordem mundial"" que pretende ""se rebelar contra Deus"" e ""dominar a mente do povo com a legalização das drogas"", acusa o governo do PT de querer legalizar a eutanásia para ""matar os mais velhos"" e o aborto para provocar um ""extermínio"" e comercializar os órgãos dos fetos abortados. ",2014-09-14 17:13:14,"link","http://www.cartacapital.com.br/politica/material-pro-marina-chama-dilma-e-lgbts-de-anticristo-7393.html","229151370439618_807250369296379",3794,941,4678,2014-09-14,"Domingo","Setembro",3468.5,637,0.875,100,10,0.0156985871271586
"96","jornaloglobo","115230991849922","O Globo","#Polêmica. http://glo.bo/1BCDLC8",2014-09-13 22:52:49,"link","http://glo.bo/1BCDLC8","115230991849922_839648496074831",9446,1571,2875,2014-09-14,"Sábado","Setembro",3140.9,32,0.5,6,6,0.1875
"18","portalr7","142404191637","Portal R7","Não deu praia? Veja as piscinas mais belas do mundo! http://r7.com/ZwbP

(Foto: Reprodução/ Izismile)",2014-09-14 12:30:01,"photo","https://www.facebook.com/portalr7/photos/pcb.10152479456611638/10152479453871638/?type=1&relevant_count=3","142404191637_10152479456611638",19385,226,1726,2014-09-14,"Domingo","Setembro",3041.9,101,3,18,7,0.0693069306930693
"130","folhadesp","100114543363891","Folha de S.Paulo","(via Folha Cotidiano)",2014-09-14 09:40:01,"link","http://uol.com/bmdT04","100114543363891_863132510395420",7175,330,2720,2014-09-14,"Domingo","Setembro",2448.5,21,1,5,2,0.0952380952380952
"301","Veja","109597815616","VEJA",NA,2014-09-14 13:32:03,"link","http://abr.ai/1qUxVan","109597815616_10152513469690617",9148,1287,1850,2014-09-14,"Domingo","Setembro",2410.9,NA,NA,2,1,NA
"281","zerohora","46452974955","Zero Hora","Vale a pena aproveitar o domingo para dar aquela revirada nas gavetas.",2014-09-14 09:46:14,"link","http://zhora.co/1qO7Ivr","46452974955_10150476055494956",5286,1120,2116,2014-09-14,"Domingo","Setembro",2134.2,70,0.5,13,1,0.0142857142857143
"419","Brasil247","167637636622585","Brasil 247","Verissimo explica por que não vota em Marina http://brasil247.com/+ktnnl Para o escritor Luis Fernando Verissimo, Marina Silva, candidata do PSB, dificilmente chegará à presidência da República por ser muito contraditória; de qualquer forma, diz que não dará seu voto à candidata “mais revolucionaria destas eleições, que ao mesmo tempo é a mais conservadora”; ele condena suas posições contra a liberação do aborto e a pesquisa com células-tronco; afirma que a oposição à última questão, ‘que pode levar à cura de várias doenças hoje mortais é criminosa’; o escritor gaúcho afirma que irá votar ""com o coração"", ou seja, em defesa da saúde e contra Marina",2014-09-14 09:05:01,"photo","https://www.facebook.com/Brasil247/photos/a.249276275125387.79639.167637636622585/822486244471051/?type=1&relevant_count=1","167637636622585_822490201137322",2357,375,2825,2014-09-14,"Domingo","Setembro",2043.2,656,0.285714285714286,109,13,0.0198170731707317
"68","RecordOficial","143371292411222","Rede Record","Longe da TV, a atriz Neusa Borges revela que vende roupas usadas para sobreviver!

Hoje, às 19h20, em entrevista exclusiva para o #DomingoEspetacular: http://r7.com/CNvq",2014-09-14 16:00:01,"photo","https://www.facebook.com/RecordOficial/photos/a.193775244037493.49636.143371292411222/722211957860483/?type=1&relevant_count=1","143371292411222_722293027852376",7753,615,419,2014-09-14,"Domingo","Setembro",1211.2,169,0.666666666666667,27,10,0.0591715976331361
"388","forumrevista","135536083145232","Revista Fórum","Na Fórum Semanal: Candidato tucano tenta ao menos garantir Minas Gerais para escapar de um vexame histórico. Junto com ele, o PSDB pode viver um processo de encolhimento agudo como partido nacional.",2014-09-14 08:30:00,"link","http://revistaforum.com.br/digital/164/o-fracasso-da-candidatura-aecio-depois-da-queda-o-coice/","135536083145232_816451205053713",2200,309,1309,2014-09-14,"Domingo","Setembro",1098.1,198,1,33,11,0.0555555555555556
"455","Exame","131180673952","Exame","Veja um passo a passo para desfrutar da aposentadoria até os 90 anos (sem aperto). ",2014-09-14 09:00:01,"link","http://exame.abril.com.br/seu-dinheiro/noticias/onde-investir-para-ter-renda-de-r-5-mil-na-aposentadoria","131180673952_10152697660603953",1951,235,875,2014-09-14,"Domingo","Setembro",790.6,83,0.666666666666667,16,1,0.0120481927710843
"54","g1","180562885329138","G1 - O Portal de Notícias da Globo","Veja detalhes sobre as vagas e consulte os editais: http://glo.bo/1qzlrHB
Confira a lista completa de concursos e oportunidades: http://glo.bo/1qgKytg
#G1",2014-09-14 08:00:01,"link","http://glo.bo/1qzlrHB","180562885329138_810470262338394",1739,188,851,2014-09-14,"Domingo","Setembro",740.9,154,0.5,26,6,0.038961038961039
"56","multishow","137739696264832","Multishow","Chama a família pra sala porque a #MaratonaVaiQueCola tá no ar no Multishow, com os episódios da semana do melhor humorístico do Brasil! \o/",2014-09-14 19:00:01,"photo","https://www.facebook.com/multishow/photos/a.141723715866430.14827.137739696264832/769224756449653/?type=1&relevant_count=1","137739696264832_770156906356438",2704,55,149,2014-09-14,"Domingo","Setembro",376.3,140,2,25,7,0.05
"340","outraspalavras","140551669316918","Outras Palavras","DOUTORADOS INFORMAIS, PARA CRIAR SEM DEPENDER DA ACADEMIA

Como desenvolver um projeto de aprendizado autônomo e consistente, estabelecendo redes de  colaboração com quem acredita em conhecimento além dos certificados

Por Alex Bretas Vasconcelos 

http://wp.me/p15fon-9Nm",2014-09-14 14:30:01,"link","http://wp.me/p15fon-9Nm","140551669316918_759784977393581",740,34,461,2014-09-14,"Domingo","Setembro",360.8,272,1,38,55,0.202205882352941
"205","EstadodeMinas","297674750278959","Estado de Minas","Câmera exclusiva do Portal Uai registra o momento exato da implosão do viaduto na Avenida Pedro I, em BH",2014-09-14 09:42:38,"video","https://www.facebook.com/video.php?v=785485488164547","297674750278959_785485488164547",77,29,567,2014-09-14,"Domingo","Setembro",356.6,104,3,19,8,0.0769230769230769
"310","revistaISTOE","142656675745901","Revista ISTOÉ","A charge de Fernando Brum nesta edição da ISTOÉ",2014-09-14 11:00:01,"photo","https://www.facebook.com/revistaISTOE/photos/a.355391887805711.91699.142656675745901/875511265793768/?type=1&relevant_count=1","142656675745901_876332839044944",720,104,353,2014-09-14,"Domingo","Setembro",315,47,NA,9,7,0.148936170212766
"335","brasildefato","185129231535049","Brasil de Fato","Plebiscito
Resultado final deve ser divulgado no dia 24; comissão organizadora considera que a campanha foi vitoriosa apesar do “muro de silêncio” montado pela grande mídia
http://www.brasildefato.com.br/node/29788",2014-09-14 08:30:13,"link","http://www.brasildefato.com.br/node/29788","185129231535049_765024180212215",445,17,217,2014-09-14,"Domingo","Setembro",179.8,214,3,33,2,0.00934579439252336
"400","revistacarosamigos","259797052227","Revista Caros Amigos","Viúva de Edward Said, Marian Said, e filósofo Saad Chedid falam da escalada de violência na Palestina: ""Primeiramente e principalmente, o Hamas não está bombardeando Israel. Não tem força aérea. Bombardear exige força aérea. O país deles não tem comida sufi ciente, não tem nada sufi ciente. A água já está contaminada porque não há eletricidade. Edward descreveu isso lindamente em 2001: é como se você estivesse sentado na sua casa, mas alguém é dono das portas e das janelas. Não pode viver na sua casa e não pode fazer nada porque eles não abrem as portas para você. Israelenses e palestinos em Gaza têm que expressar seu desejo de quebrar o cerco. Então, o que fazem? Inventam esses foguetes e detonam de tempos em tempos. Não é o pessoal de Gaza que ataca, nem mesmo o Hamas.""; na edição 209 da Caros Amigos, nas bancas: bit.ly/1lmq72h",2014-09-14 12:05:01,"link","http://bit.ly/1lmq72h","259797052227_10152993622792228",111,5,52,2014-09-14,"Domingo","Setembro",43.8,841,1.2,149,26,0.0309155766944114
